ISO2,LON,LAT
AG,-61.783,17.078
DZ,2.632,28.163
AZ,47.395,40.43
AL,20.068,41.143
AM,44.563,40.534
AO,17.544,-12.296
AS,-170.73,-14.318
AR,-65.167,-35.377
AU,136.189,-24.973
BH,50.562,26.019
BB,-59.559,13.153
BM,-64.709,32.336
BS,-78.014,24.628
BD,89.941,24.218
BZ,-88.602,17.219
BA,17.786,44.169
BO,-64.671,-16.715
MM,96.041,21.718
BJ,2.469,10.541
SB,160.109,-9.611
BR,-53.089,-10.772
BG,25.231,42.761
BN,114.591,4.468
CA,-109.433,59.081
KH,104.564,12.714
LK,80.704,7.612
CG,15.986,-0.055
CD,23.654,-2.876
BI,29.887,-3.356
CN,106.514,33.42
AF,65.216,33.677
BT,90.429,27.415
CL,-69.433,-23.389
KY,-81.198,19.314
CM,12.277,5.133
TD,18.665,15.361
KM,43.337,-11.758
CO,-73.076,3.9
CR,-83.946,9.971
CF,20.483,6.571
CU,-77.781,21.297
CV,-23.634,15.071
CK,-159.782,-21.219
CY,33.219,35.043
DK,9.264,56.058
DJ,42.516,11.9
DM,-61.356,15.475
DO,-70.729,19.015
EC,-78.497,-1.385
EG,29.872,26.494
IE,-8.152,53.177
GQ,10.488,1.607
EE,25.793,58.674
ER,38.219,16.045
SV,-88.866,13.736
ET,39.616,8.626
AT,14.912,47.683
CZ,15.338,49.743
GF,-53.241,3.924
FI,26.272,64.504
FJ,177.974,-17.819
FK,-58.694,-51.665
FM,158.235,6.883
PF,-149.462,-17.626
FR,2.55,46.565
GM,-15.386,13.453
GA,11.797,-0.591
GE,43.518,42.176
GH,-1.207,7.96
GD,-61.678,12.118
GL,-41.391,74.719
DE,9.851,51.11
GU,144.707,13.385
GR,21.766,39.666
GT,-90.398,15.256
GN,-10.942,10.439
GY,-58.974,4.792
HT,-72.278,19.142
HN,-86.863,14.819
HR,16.693,45.723
HU,19.134,47.07
IS,-18.48,64.764
IN,78.5,21
IR,54.301,32.565
IL,34.851,31.026
IT,12.8,42.7
CI,-5.556,7.632
IQ,43.772,33.048
JP,139.068,36.491
JM,-77.32,18.151
JO,36.319,30.703
KE,37.858,0.53
KG,74.555,41.465
KP,126.451,39.778
KI,175.036,-1.508
KR,128.103,36.504
KW,47.376,29.476
KZ,67.301,48.16
LA,102.471,19.905
LB,35.888,33.92
LV,25.641,56.858
BY,28.047,53.54
LT,23.897,55.336
LR,-9.657,6.682
SK,19.491,48.707
LI,9.555,47.153
LY,18.023,27.044
MG,46.706,-19.374
MQ,-61.021,14.653
MN,102.876,46.056
MS,-62.187,16.736
MK,21.698,41.6
ML,-3.524,17.35
MA,-5.758,32.706
MU,57.583,-20.255
MR,-10.332,20.26
MT,14.442,35.89
OM,57.407,21.656
MV,72.92,3.548
MX,-102.535,23.951
MY,102.195,4.201
MZ,37.923,-14.422
MW,33.808,-13.4
NC,165.447,-21.359
NU,-169.869,-19.052
NE,9.398,17.426
AW,-69.977,12.517
AI,-63.032,18.237
BE,4.664,50.643
HK,114.129,22.423
MP,145.623,15.005
FO,-6.864,62.05
AD,1.576,42.549
GI,-5.345,36.138
IM,-4.527,54.229
LU,6.088,49.771
MO,113.545,22.2
MC,7.412,43.75
PS,35.278,32.037
ME,19.254,42.792
YT,45.155,-12.777
AX,19.952,60.198
NF,167.953,-29.037
CC,96.839,-12.173
AQ,21.304,-80.446
BV,3.412,-54.422
TF,69.117,-49.302
HM,73.507,-53.111
IO,72.416,-7.335
CX,105.704,-10.444
UM,-160.027,-0.385
VU,166.899,-15.376
NG,8.105,9.594
NL,5.389,52.077
NO,8.74,61.152
NP,83.939,28.253
NR,166.93,-0.522
SR,-55.912,4.127
NI,-85.034,12.84
NZ,172.235,-42.634
PY,-58.391,-23.236
PE,-75.552,-9.326
PK,69.386,29.967
PL,19.401,52.125
PA,-80.92,8.384
PT,-8.058,40.309
PG,143.459,-5.949
GW,-14.651,12.125
QA,51.191,25.316
RE,55.538,-21.122
RO,24.969,45.844
MD,28.599,47.193
PH,122.466,11.118
PR,-66.466,18.221
RU,96.689,61.988
RW,29.917,-1.998
SA,44.585,24.023
KN,-62.769,17.34
SC,55.474,-4.647
ZA,23.121,-30.558
LS,28.243,-29.581
BW,23.815,-22.182
SN,-14.881,15.013
SI,14.827,46.124
SL,-11.792,8.56
SG,103.808,1.351
SO,48.316,9.774
ES,-3.649,40.227
LC,-60.969,13.898
SD,30.05,13.832
SE,15.27,62.011
SY,38.506,35.013
CH,7.908,46.861
TT,-61.253,10.468
TH,100.844,15.7
TJ,69.42,38.665
TK,-171.853,-9.193
TO,-175.185,-21.202
TG,1.081,8.799
ST,6.629,0.201
TN,9.596,35.383
TR,35.179,39.061
TV,179.219,-8.514
TM,59.384,39.122
TZ,34.823,-6.27
UG,32.386,1.28
GB,-1.6,53
UA,31.388,49.016
US,-98.606,39.622
BF,-1.74,12.278
UY,-56.012,-32.8
UZ,63.17,41.75
VC,-61.194,13.248
VE,-66.166,7.125
VG,-64.39,18.483
VN,105.314,21.491
VI,-64.785,17.741
NA,17.218,-22.133
WF,-178.131,-14.289
WS,-172.414,-13.652
SZ,31.497,-26.562
YE,48.355,15.807
ZM,26.32,-14.614
ZW,29.872,-19
ID,114.252,-0.976
GP,-61.441,16.286
AN,-68.87,12.123
AE,54.163,23.549
TL,125.878,-8.822
PN,-128.316,-24.366
PW,134.57,7.501
MH,168.963,7.595
PM,-56.325,47.042
SH,-5.71,-15.953
SM,12.46,43.942
TC,-71.95,21.902
EH,-13.706,24.554
RS,20.806,44.032
VA,12.451,41.904
SJ,18.374,78.83
MF,-63.041,18.094
BL,-63.043,18.04
GG,-2.576,49.459
JE,-2.129,49.219
GS,-36.891,-54.209
TW,120.946,23.754
